,c_code_1,state_name_abb_a,year,num_conflicts,avg_with,avg_against,avg_cum_duration,num_wars,origin_participant_pct,ongoing_2010,revision_pct,avg_hostility_level,revision_type_mode,state_fatality_bin_mode,outcome_mode,settlement_type_mode
122,135,PER,1846,1,2.0,1.0,0.1506849315068493,0,1.0,0.0,0.0,3.0,N/A,None Value,N/A,N/A
123,135,PER,1847,1,2.0,1.0,0.2547945205479452,0,1.0,0.0,0.0,3.0,N/A,None Value,Yield by State B,Unclear
124,70,MEX,1847,1,1.0,1.0,4.361643835616438,1,1.0,0.0,0.0,5.0,N/A,None Value,N/A,N/A
125,230,SPN,1847,2,2.0,1.0,0.2136986301369863,0,1.0,0.0,1.0,1.0,Regime/Government,None Value,Yield by for State A,Unclear
126,300,AUH,1847,1,1.0,1.0,0.4602739726027397,0,1.0,0.0,1.0,3.0,Policy,None Value,N/A,N/A
127,155,CHL,1847,1,2.0,1.0,0.1726027397260274,0,0.0,0.0,0.0,3.0,N/A,None Value,Yield by State B,Unclear
128,327,PAP,1847,1,1.0,1.0,0.4602739726027397,0,1.0,0.0,0.0,1.0,N/A,None Value,N/A,N/A
129,2,USA,1847,1,1.0,1.0,4.361643835616438,1,1.0,0.0,1.0,5.0,Territory,None Value,N/A,N/A
130,245,BAV,1848,1,4.0,4.0,0.4054794520547945,0,0.0,0.0,0.0,3.0,N/A,,Compromise,Negotiated
131,240,HAN,1848,1,4.0,4.0,0.39452054794520547,0,0.0,0.0,0.0,3.0,N/A,None Value,Compromise,Negotiated
132,332,MOD,1848,1,1.0,3.0,0.4,1,0.0,0.0,0.0,5.0,N/A,26-100,Victory for State B,Negotiated
133,337,TUS,1848,1,1.0,3.0,0.3452054794520548,1,0.0,0.0,0.0,5.0,N/A,26-100,Victory for State B,Negotiated
134,329,SIC,1848,3,2.3333333333333335,1.0,0.13972602739726028,0,0.6666666666666666,0.0,0.3333333333333333,1.6666666666666667,N/A,None Value,Yield by for State A,Imposed
135,220,FRN,1848,2,2.5,1.0,0.19452054794520549,0,0.5,0.0,1.0,3.0,Policy,None Value,['Stalemate' 'Yield by State B'],['Imposed' 'None Value']
136,2,USA,1848,1,1.0,1.0,4.454794520547945,0,1.0,0.0,1.0,4.0,Territory,"1,000+",Victory for State A,Imposed
137,327,PAP,1848,2,2.0,1.0,0.4465753424657534,0,1.0,0.0,0.5,2.5,['N/A' 'Policy'],None Value,Stalemate,None Value
138,390,DEN,1848,1,4.0,4.0,0.7534246575342466,1,1.0,0.0,0.0,5.0,N/A,None Value,N/A,N/A
139,325,ITA,1848,1,1.0,3.0,0.7452054794520548,1,1.0,0.0,1.0,5.0,Territory,None Value,N/A,N/A
140,380,SWD,1848,1,4.0,4.0,0.4054794520547945,0,0.0,0.0,0.0,3.0,N/A,None Value,Compromise,Negotiated
141,200,UKG,1848,2,3.0,2.5,0.21232876712328766,0,0.5,0.0,0.5,2.0,['N/A' 'Policy'],None Value,['Compromise' 'Yield by State B'],['Imposed' 'Negotiated']
142,70,MEX,1848,1,1.0,1.0,4.454794520547945,0,1.0,0.0,0.0,4.0,N/A,"1,000+",Victory for State B,Imposed
143,300,AUH,1848,7,1.8571428571428572,1.8571428571428572,0.44305283757338554,3,1.0,0.0,0.14285714285714285,4.285714285714286,N/A,"['1,000+' 'None Value']",Stalemate,None Value
144,255,GMY,1848,1,4.0,4.0,0.7534246575342466,1,1.0,0.0,1.0,5.0,Policy,None Value,N/A,N/A
145,101,VEN,1849,1,1.0,1.0,0.25205479452054796,0,1.0,0.0,0.0,4.0,N/A,None Value,Stalemate,None Value
146,325,ITA,1849,1,1.0,3.0,0.9726027397260274,1,1.0,0.0,1.0,5.0,Territory,"1,000+",Victory for State B,Negotiated
147,255,GMY,1849,1,4.0,4.0,1.2794520547945205,1,1.0,0.0,1.0,5.0,Policy,"1,000+",Compromise,Negotiated
148,390,DEN,1849,1,4.0,4.0,1.2794520547945205,1,1.0,0.0,0.0,5.0,N/A,"1,000+",Compromise,Negotiated
149,327,PAP,1849,3,3.0,1.0,0.24748858447488584,3,1.0,0.0,0.0,5.0,N/A,"1,000+",Victory for State B,Imposed
150,140,BRA,1849,1,1.0,1.0,0.4191780821917808,0,1.0,0.0,0.0,4.0,N/A,None Value,N/A,N/A
151,300,AUH,1849,3,1.6666666666666667,1.6666666666666667,0.4748858447488585,2,1.0,0.0,0.6666666666666666,4.666666666666667,Policy,"['1,000+' '26-100' 'None Value']",Victory for State A,Imposed
152,329,SIC,1849,1,3.0,1.0,0.18082191780821918,1,0.0,0.0,1.0,5.0,Policy,26-100,Victory for State A,Imposed
153,210,NTH,1849,1,1.0,1.0,0.25205479452054796,0,1.0,0.0,0.0,3.0,N/A,None Value,Stalemate,None Value
154,640,TUR,1849,1,3.0,1.0,0.03561643835616438,0,0.0,0.0,0.0,1.0,N/A,None Value,Stalemate,None Value
155,220,FRN,1849,2,3.0,1.0,0.14931506849315068,1,0.5,0.0,0.5,4.0,['N/A' 'Policy'],['26-100' 'None Value'],['Stalemate' 'Victory for State A'],['Imposed' 'None Value']
156,200,UKG,1849,2,2.0,1.0,0.26301369863013696,0,1.0,0.0,0.5,3.5,['N/A' 'Policy'],None Value,['N/A' 'Stalemate'],['N/A' 'None Value']
157,337,TUS,1849,1,1.0,1.0,0.0821917808219178,0,1.0,0.0,0.0,1.0,N/A,None Value,Yield by for State A,Imposed
158,365,RUS,1849,3,3.0,1.0,0.08310502283105023,0,1.0,0.0,1.0,2.0,Policy,None Value,Stalemate,None Value
159,140,BRA,1850,2,1.0,1.0,0.7698630136986301,0,1.0,0.0,0.5,4.0,['N/A' 'Territory'],None Value,['N/A' 'Victory for State B'],['N/A' 'None Value']
160,200,UKG,1850,2,1.0,1.0,0.8479452054794521,0,1.0,0.0,1.0,4.0,Policy,None Value,['N/A' 'Yield by State B'],['N/A' 'Negotiated']
161,271,WRT,1850,1,1.0,6.0,0.136986301369863,0,0.0,0.0,0.0,4.0,N/A,,Compromise,Negotiated
162,273,HSE,1850,1,1.0,6.0,0.1780821917808219,0,1.0,0.0,0.0,1.0,N/A,None Value,Compromise,Negotiated
163,70,MEX,1850,1,1.0,1.0,0.16712328767123288,0,1.0,0.0,0.0,1.0,N/A,None Value,N/A,N/A
164,300,AUH,1850,1,1.0,6.0,0.1780821917808219,0,1.0,0.0,0.0,4.0,N/A,,Compromise,Negotiated
165,160,ARG,1850,1,1.0,1.0,0.08493150684931507,0,1.0,0.0,0.0,4.0,N/A,None Value,N/A,N/A
