,c_code_1,state_name_1,year,num_alliances,pre_1816_alliances,num_in_effect_1231_2012,defense_treaties,neutrality_treaties,nonaggression_treaties,entente_treaties
207,235,Portugal,1830,1,1,1,1,0,1.0,0.0
208,325,Italy,1831,1,0,0,1,0,0.0,0.0
209,271,Wuerttemburg,1831,7,7,0,7,0,7.0,7.0
210,380,Sweden,1831,1,1,0,0,0,0.0,1.0
211,235,Portugal,1831,1,1,1,1,0,1.0,0.0
212,337,Tuscany,1831,1,1,0,1,0,0.0,1.0
213,200,United Kingdom,1831,2,2,1,1,0,1.0,1.0
214,267,Baden,1831,7,7,0,7,0,7.0,7.0
215,273,Hesse Electoral,1831,7,7,0,7,0,7.0,7.0
216,269,Saxony,1831,7,7,0,7,0,7.0,7.0
217,255,Germany,1831,7,7,0,7,0,7.0,7.0
218,245,Bavaria,1831,7,7,0,7,0,7.0,7.0
219,300,Austria-Hungary,1831,9,8,0,9,0,7.0,8.0
220,275,Hesse Grand Ducal,1831,7,7,0,7,0,7.0,7.0
221,273,Hesse Electoral,1832,7,7,0,7,0,7.0,7.0
222,271,Wuerttemburg,1832,7,7,0,7,0,7.0,7.0
223,325,Italy,1832,1,0,0,1,0,0.0,0.0
224,235,Portugal,1832,1,1,1,1,0,1.0,0.0
225,269,Saxony,1832,7,7,0,7,0,7.0,7.0
226,211,Belgium,1832,1,0,0,0,0,0.0,0.0
227,380,Sweden,1832,1,1,0,0,0,0.0,1.0
228,245,Bavaria,1832,7,7,0,7,0,7.0,7.0
229,267,Baden,1832,7,7,0,7,0,7.0,7.0
230,255,Germany,1832,7,7,0,7,0,7.0,7.0
231,200,United Kingdom,1832,3,2,1,2,0,1.0,1.0
232,300,Austria-Hungary,1832,9,8,0,9,0,7.0,8.0
233,337,Tuscany,1832,1,1,0,1,0,0.0,1.0
234,220,France,1832,2,0,0,2,0,0.0,0.0
235,275,Hesse Grand Ducal,1832,7,7,0,7,0,7.0,7.0
236,245,Bavaria,1833,7,7,0,7,0,7.0,7.0
237,329,Two Sicilies,1833,1,0,0,1,0,0.0,0.0
238,220,France,1833,2,0,0,2,0,0.0,0.0
239,267,Baden,1833,7,7,0,7,0,7.0,7.0
240,211,Belgium,1833,1,0,0,0,0,0.0,0.0
241,300,Austria-Hungary,1833,16,8,0,14,0,7.0,11.0
242,200,United Kingdom,1833,3,2,1,2,0,1.0,1.0
