,cow_code,state_name,year,num_trade_states,export_dollars,import_dollars,military_expenditure,military_personnel,prim_energy_consumption,total_pop,cinc_score,num_alliances,pre_1816_alliances,num_in_effect_1231_2012,defense_treaties,neutrality_treaties,nonaggression_treaties,entente_treaties,num_conflicts,avg_cum_duration,num_wars,ongoing_2010,revision_pct,avg_hostility_level,num_leadership_changes,leader_tenure,age_govt,num_transitions_ever,export_import_ratio,Africa,Americas,Asia,Europe,Oceania,Direct election,Indirect election,Nonelective,Elective legislature,No legislature exists,Non‐elective legislature,Appointed,Closed,Elected,All parties legally banned,Legally single party state,Multiple parties legally allowed,Elective legislature,No legislature exists,Non‐elective legislature,Multiple parties,No parties,One party,Legislature with multiple parties,No legislature or all nonpartisan,Only members from regime party,Democratic incumbent,Rules rewritten unconstitutionally,collective_leadership,military_leader,royal_leader,nominal_vs_eff_diff,communist_leader,leader_died,democratic_regime,cabinet_assembly,popular_election,Civilian dictatorship,Military dictatorship,Mixed (semi‐presidential) democracy,Parliamentary democracy,Presidential democracy,Royal dictatorship,transition_to_democracy,transition_to_dictatorship
21,790,Nepal,1946,65.0,1000000.0,7700000.0,1839000.0,20000.0,2000000.0,7333000.0,0.001235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2,24.0,0,0.12987012987012986,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
22,800,Thailand,1946,65.0,49700000.0,107800000.0,6996000.0,44000.0,8000000.0,17710000.0,0.0038775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6876712328767123,0.0,0.0,0.0,4.0,3,1,77.0,0,0.461038961038961,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,840,Philippines,1946,65.0,608020000.0,330450000.0,17313000.0,27000.0,130000000.0,18434000.0,0.0034625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1.0,0,1.8399757905885914,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
24,900,Australia,1946,65.0,1172780000.0,1398090000.0,1032619000.0,103000.0,41020000000.0,7465000.0,0.010583799999999999,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2,46.0,0,0.8388444234634395,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
25,42,Dominican Republic,1946,65.0,67100000.0,91420000.0,3856000.0,7000.0,10000000.0,2030000.0,0.00045089999999999996,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5,17.0,0,0.7339750601618902,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,920,New Zealand,1946,65.0,441090000.0,568500000.0,153526000.0,9000.0,4434000000.0,1784000.0,0.0011930999999999999,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,7,40.0,0,0.7758839050131926,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
27,41,Haiti,1946,65.0,28900000.0,30400000.0,1940000.0,5000.0,2000000.0,3140000.0,0.0005155,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1,77.0,0,0.9506578947368421,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,223,Liechtenstein,1946,164.0,1242248.0,1708899.0000000002,0.0,0.0,278000000.0,29000.0,1.09e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2,77.0,0,0.7269288588734617,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
29,40,Cuba,1946,65.0,559900000.0,683650000.0,39943000.0,18000.0,162000000.0,5040000.0,0.00215,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0,14,11.0,0,0.8189863234111022,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
30,305,Austria,1946,83.0,857999995.3,715240000.1,7209000.0,15000.0,22918000000.0,6947000.0,0.0033667000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2,2.0,1,1.1995973312175496,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
31,712,Mongolia,1946,65.0,80000.0,70000.0,55050000.0,10000.0,36000000.0,757000.0,0.00012930000000000003,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,7,26.0,0,1.1428571428571428,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
32,645,Iraq,1946,65.0,172500000.0,137330000.0,21604000.0,51000.0,13380000000.0,4803000.0,0.0021282,12.0,0.0,4.0,1.0,0.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0,8,15.0,0,1.2560984489914804,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
33,145,Bolivia,1946,65.0,72680000.0,99910000.0,7052000.0,9000.0,168000000.0,2880000.0,0.0006997,21.0,0.0,2.0,19.0,1.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,77.0,0,0.7274547092383145,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
34,640,Turkey,1946,65.0,327200000.0,181270000.0,278779000.0,689000.0,5494000000.0,19074000.0,0.0114336,4.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.8383561643835616,0.0,0.0,0.0,3.0,0,9,24.0,0,1.8050422022397528,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,360,Romania,1946,65.0,2100000.0,1000000.0,61522000.0,114000.0,18214000000.0,15790000.0,0.005016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2,2.0,0,2.1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
36,350,Greece,1946,65.0,315200000.0,1310000.0,95622000.0,120000.0,856000000.0,7400000.0,0.0030764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8383561643835616,0.0,0.0,0.0,4.0,2,1,1.0,1,240.61068702290078,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
