,dispute_id,c_code_1,state_name_abb_a,c_code_2,state_name_abb_b,year,outcome,settlement_type,total_fatality_bin,num_with,num_against,revision_sought,revision_type,state_fatality_bin,hostility_level,origin_participant,war,year_num,cumulative_duration,ongoing_2010,date_start,date_end,initiator
3607,1284,339,ALB,350,GRC,1948,Stalemate,None Value,26-100,1,1,0,N/A,1-25,4,1,0,1,13,0,1948-08-01,1948-08-13,0.0
3608,3265,365,RUS,710,CHN,1948,Stalemate,None Value,,2,1,0,N/A,,4,1,0,2,294,0,1947-05-12,1948-02-28,1.0
3609,3265,710,CHN,712,MON,1948,Stalemate,None Value,,2,1,0,N/A,,4,1,0,2,294,0,1947-05-12,1948-02-28,0.0
3610,3265,710,CHN,365,RUS,1948,Stalemate,None Value,,2,1,0,N/A,,4,1,0,2,294,0,1947-05-12,1948-02-28,0.0
3611,3265,712,MON,710,CHN,1948,Stalemate,None Value,,2,1,1,Territory,,4,1,0,2,294,0,1947-05-12,1948-02-28,1.0
3612,2186,731,PRK,732,ROK,1949,Stalemate,None Value,,1,1,1,Territory,,4,1,0,1,98,0,1949-05-05,1949-08-10,1.0
3613,633,710,CHN,713,TAW,1949,N/A,N/A,None Value,2,1,1,Territory,None Value,4,1,0,1,92,0,1949-10-01,1950-08-07,0.0
3614,604,200,UKG,678,YAR,1949,Victory for State A,Imposed,,1,1,0,N/A,,4,1,0,1,71,0,1949-07-01,1949-09-09,1.0
3615,3229,200,UKG,666,ISR,1949,Stalemate,None Value,1-25,1,2,0,N/A,None Value,3,1,0,1,88,0,1949-01-07,1949-04-04,0.0
3616,2339,93,NIC,94,COS,1949,Stalemate,Negotiated,,1,1,1,Regime/Government,,4,1,0,2,90,0,1948-12-11,1949-03-09,1.0
3617,3386,651,EGY,666,ISR,1949,N/A,N/A,None Value,1,1,1,Territory,None Value,4,1,0,1,9,0,1949-12-23,1950-01-07,1.0
3618,1793,663,JOR,666,ISR,1949,Victory for State B,Negotiated,"1,000+",5,1,1,Territory,"1,000+",5,1,1,2,302,0,1948-05-14,1949-03-10,1.0
3619,1793,666,ISR,663,JOR,1949,N/A,N/A,"1,000+",5,1,0,N/A,"1,000+",5,1,1,2,302,0,1948-05-14,1949-03-10,0.0
3620,3445,666,ISR,652,SYR,1949,Stalemate,Negotiated,None Value,1,1,0,N/A,None Value,4,1,0,1,8,0,1949-04-06,1949-04-13,1.0
3621,2625,750,IND,770,PAK,1949,Stalemate,None Value,None Value,1,1,0,N/A,None Value,4,1,0,1,97,0,1949-04-14,1949-07-19,0.0
3622,2625,770,PAK,750,IND,1949,Stalemate,None Value,None Value,1,1,1,Territory,None Value,4,1,0,1,97,0,1949-04-14,1949-07-19,1.0
3623,2186,732,ROK,731,PRK,1949,Stalemate,None Value,,1,1,1,Territory,,4,1,0,1,98,0,1949-05-05,1949-08-10,0.0
3624,2339,94,COS,93,NIC,1949,Stalemate,Negotiated,,1,1,0,N/A,,4,1,0,2,90,0,1948-12-11,1949-03-09,0.0
3625,3445,652,SYR,666,ISR,1949,Stalemate,Negotiated,None Value,1,1,1,Territory,None Value,2,1,0,1,8,0,1949-04-06,1949-04-13,0.0
3626,1112,41,HAI,42,DOM,1949,N/A,N/A,None Value,1,1,0,N/A,None Value,1,1,0,1,98,0,1949-09-25,1950-01-31,0.0
3627,3229,666,ISR,200,UKG,1949,Stalemate,None Value,1-25,1,2,0,N/A,1-25,4,1,0,1,88,0,1949-01-07,1949-04-04,1.0
3628,26,2,USA,365,RUS,1949,Stalemate,None Value,None Value,1,3,0,N/A,None Value,4,1,0,2,493,0,1948-03-21,1949-07-25,0.0
3629,604,678,YAR,200,UKG,1949,Victory for State B,Imposed,,1,1,1,Territory,,3,1,0,1,71,0,1949-07-01,1949-09-09,0.0
3630,3161,645,IRQ,663,JOR,1949,Stalemate,None Value,None Value,2,1,0,N/A,None Value,3,0,0,1,61,0,1949-06-15,1949-08-14,1.0
3631,3161,663,JOR,645,IRQ,1949,Stalemate,None Value,None Value,2,1,1,Regime/Government,None Value,3,1,0,1,61,0,1949-06-15,1949-08-14,0.0
3632,3161,652,SYR,663,JOR,1949,Stalemate,None Value,None Value,2,1,0,N/A,None Value,3,1,0,1,111,0,1949-04-26,1949-08-14,1.0
3633,3161,663,JOR,652,SYR,1949,Stalemate,None Value,None Value,2,1,1,Regime/Government,None Value,3,1,0,1,111,0,1949-04-26,1949-08-14,0.0
3634,26,365,RUS,2,USA,1949,Stalemate,None Value,None Value,1,3,1,Territory,None Value,4,1,0,2,493,0,1948-03-21,1949-07-25,1.0
3635,1112,42,DOM,41,HAI,1949,N/A,N/A,None Value,1,1,1,Regime/Government,None Value,4,1,0,1,98,0,1949-09-25,1950-01-31,1.0
