,c_code_1,state_name_1,year,num_trade_states,export_dollars,import_dollars,military_expenditure,military_personnel,iron_steel_prod,prim_energy_consumption,total_pop,urban_pop,cinc_score,num_alliances,pre_1816_alliances,num_in_effect_1231_2012,defense_treaties,neutrality_treaties,nonaggression_treaties,entente_treaties,num_conflicts,avg_with,avg_against,avg_cum_duration,num_wars,origin_participant_pct,ongoing_2010,revision_pct,revision_type_mode,state_fatality_bin_mode,outcome_mode,settlement_type_mode,highest_mca_mode,highest_hostility_mode,total_protestant,total_catholic,total_christian,total_jewish,total_sunni,total_shia,total_islam,total_buddhist,total_hindu,total_sikh,total_shinto,total_non_religious,territory_change,territory_change_year,election_type,legislation_type,legislature_status,party_legal_status,party_existance,party_existance_outside_regime,legislature_parties,incumbent_type,collective_leadership,num_leadership_changes,leader_tenure,military_leader,royal_leader,nominal_vs_eff_diff,communist_leader,leader_died,democratic_regime,cabinet_assembly,popular_election,regime_type,transition_democracy,transition_dictatorship,age_govt,num_transitions_ever
20,150,Paraguay,1946,65.0,14790000.0,21250000.0,3425000.0,4000.0,0.0,6000000.0,1280000.0,174000.0,0.0003389,20.0,0.0,1.0,19.0,0.0,1.0,19.0,0.0,,,0.0,0.0,,,,0,0,,,1,1,22163.6,1126800.0,1148963.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,11.0,0.0
21,375,Finland,1946,65.0,541300000.0,599200000.0,106038000.0,42000.0,178000000.0,3026000000.0,3900000.0,341000.0,0.0016382999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0,0,,,1,1,3692686.0,1176.4,3768692.0,1514.8,0.0,0.0,584.0,0.0,0.0,0.0,0.0,84477.6,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0
22,223,,1946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0,0,,,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,77.0,0.0
23,350,Greece,1946,65.0,270200000.0,1310000.0,95622000.0,120000.0,13000000.0,856000000.0,7400000.0,914000.0,0.0030764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8383561643835616,0.0,1.0,0.0,0.0,0,0,0,0,19,4,6754.0,28713.2,7262727.8,8065.0,0.0,0.0,80933.0,0.0,0.0,0.0,0.0,24.2,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
24,40,Cuba,1946,65.0,716980000.0,817630000.0,40711000.0,18000.0,-174000000.0,162000000.0,5040000.0,1224000.0,0.00215,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,,,0.0,0.0,,,,0,0,,,1,1,192862.4,4502960.0,4695822.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,14.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,11.0,0.0
25,645,Iraq,1946,65.0,236900000.0,171530000.0,21604000.0,51000.0,0.0,13380000000.0,4803000.0,549000.0,0.0021282,12.0,0.0,4.0,1.0,0.0,9.0,12.0,0.0,,,0.0,0.0,,,,0,0,,,1,1,6446.1,57447.2,161120.0,113363.8,1627999.0,2790856.0,4418855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,15.0,0.0
26,305,,1946,56.0,102899936.79999995,-653839992.6999992,-274410000.0,-21000.0,-944000000.0,24358000000.0,6902000.0,2284000.0,0.0025486000000000033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0,0,,,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0
27,740,,1946,64.0,222510001.7999997,2154709001.1000004,-597780000.0,95000.0,5888000000.0,53270000000.0,78351000.0,12143000.0,0.025418400000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0,0,,,1,1,122132.8,109484.8,693413.6,0.0,0.0,0.0,0.0,51235564.0,4405.6,0.0,57273587.8,818164.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
28,760,,1946,138.0,0.0,0.0,0.0,5000.0,0.0,406000000.0,1068000.0,0.0,0.0001024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0,0,,,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,40.0,0.0
29,165,Uruguay,1946,65.0,232900000.0,132290000.0,10531000.0,6000.0,50000000.0,86000000.0,2100000.0,695000.0,0.0009089,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,,,0.0,0.0,,,,0,0,,,1,1,44784.0,1401800.0,1446584.0,74880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,5.0,0.0
