,state_name_1,c_code_1,year,military_expenditure,military_personnel,iron_steel_prod,prim_energy_consumption,total_pop,urban_pop,cinc_score
151,Germany,255,1822,3643000.0,130000.0,78000000.0,3000000000.0,11664000.0,209000.0,0.050643099999999996
152,France,220,1822,9735000.0,243000.0,340000000.0,2490000000.0,30700000.0,931000.0,0.13191889999999998
153,Baden,267,1822,,10000.0,0.0,,1091000.0,0.0,0.0021872
154,Switzerland,225,1822,,0.0,0.0,18000000.0,1977000.0,0.0,0.0017174
155,Two Sicilies,329,1822,,55000.0,0.0,,7058000.0,486000.0,0.0306202
156,United States of America,2,1822,1079000.0,10000.0,200000000.0,664000000.0,10268000.0,136000.0,0.0329391
157,Papal States,327,1822,,6000.0,0.0,,2435000.0,146000.0,0.0084306
158,Tuscany,337,1822,125000.0,12000.0,0.0,,1202000.0,0.0,0.0025875
159,Hesse Grand Ducal,275,1822,,8000.0,0.0,,671000.0,0.0,0.0015382
160,Spain,230,1822,,158000.0,20000000.0,0.0,11584000.0,262000.0,0.0323431
161,Saxony,269,1822,,14000.0,0.0,,1278000.0,0.0,0.0028006
162,Austria-Hungary,300,1823,6136000.0,272000.0,144000000.0,200000000.0,31543000.0,674000.0,0.09207699999999999
163,Papal States,327,1823,,9000.0,0.0,,2462000.0,146000.0,0.008768399999999999
164,France,220,1823,13569000.0,256000.0,380000000.0,2650000000.0,30940000.0,944000.0,0.1463445
165,Italy,325,1823,983000.0,19000.0,20000000.0,0.0,4011000.0,0.0,0.009212600000000001
166,Spain,230,1823,,114000.0,20000000.0,0.0,11672000.0,269000.0,0.0299894
167,Two Sicilies,329,1823,,53000.0,0.0,,7142000.0,490000.0,0.031034100000000002
168,Brazil,140,1823,,,,,4655000.0,0.0,0.009639299999999998
169,Russia,365,1823,9261000.0,684000.0,298000000.0,28000000.0,50800000.0,495000.0,0.15604089999999998
170,Switzerland,225,1823,,0.0,0.0,18000000.0,1990000.0,0.0,0.0017062000000000002
171,Netherlands,210,1823,1678000.0,28000.0,140000000.0,3214000000.0,5986000.0,367000.0,0.0394565
172,United States of America,2,1823,1170000.0,11000.0,220000000.0,690000000.0,10596000.0,143000.0,0.0331075
173,Portugal,235,1823,,27000.0,0.0,0.0,2905000.0,194000.0,0.010477799999999999
174,Turkey,640,1823,,206000.0,0.0,2000000.0,27429000.0,854000.0,0.0667179
175,Hesse Grand Ducal,275,1823,,8000.0,0.0,,679000.0,0.0,0.0016739
176,Tuscany,337,1823,129000.0,3000.0,0.0,,1216000.0,0.0,0.0018486000000000002
177,Sweden,380,1823,,45000.0,138000000.0,16000000.0,3681000.0,0.0,0.019174200000000002
178,Baden,267,1823,,10000.0,0.0,,1109000.0,0.0,0.0023618000000000003
179,Wuerttemburg,271,1823,154000.0,6000.0,0.0,,1477000.0,0.0,0.0024625999999999997
180,Bavaria,245,1823,661000.0,,20000000.0,74000000.0,3892000.0,0.0,0.0079767
181,Germany,255,1823,3377000.0,130000.0,78000000.0,3000000000.0,11844000.0,212000.0,0.0492057
182,United Kingdom,200,1823,9783000.0,125000.0,900000000.0,52190000000.0,21666000.0,2331000.0,0.3178135
183,Denmark,390,1823,,30000.0,0.0,52000000.0,1863000.0,0.0,0.0046229
184,Hesse Electoral,273,1823,,9000.0,0.0,88000000.0,607000.0,0.0,0.0016594000000000001
185,Saxony,269,1823,,15000.0,0.0,,1294000.0,0.0,0.0031601999999999997
186,Bavaria,245,1824,655000.0,,20000000.0,76000000.0,3929000.0,0.0,0.008082800000000001
187,Austria-Hungary,300,1824,5805000.0,273000.0,144000000.0,400000000.0,31848000.0,677000.0,0.0898539
188,United States of America,2,1824,1261000.0,11000.0,220000000.0,780000000.0,10924000.0,151000.0,0.0329776
189,Netherlands,210,1824,1613000.0,28000.0,140000000.0,3376000000.0,6032000.0,370000.0,0.03876690000000001
190,Sweden,380,1824,,,138000000.0,18000000.0,3736000.0,0.0,0.0173883
191,Italy,325,1824,1004000.0,27000.0,20000000.0,0.0,4049000.0,0.0,0.0099204
192,Saxony,269,1824,,13000.0,0.0,,1311000.0,0.0,0.0027409
193,Spain,230,1824,,93000.0,20000000.0,0.0,11760000.0,277000.0,0.026790699999999997
194,France,220,1824,11064000.0,239000.0,396000000.0,2820000000.0,31190000.0,957000.0,0.1365961
195,Denmark,390,1824,,41000.0,0.0,54000000.0,1878000.0,0.0,0.0052377
196,Papal States,327,1824,,9000.0,0.0,,2489000.0,145000.0,0.0084818
197,Germany,255,1824,3134000.0,130000.0,78000000.0,3200000000.0,12032000.0,216000.0,0.0480989
198,Two Sicilies,329,1824,,33000.0,0.0,,7227000.0,494000.0,0.0278675
199,Tuscany,337,1824,133000.0,3000.0,0.0,,1237000.0,0.0,0.0018932000000000003
200,Switzerland,225,1824,,0.0,0.0,20000000.0,2004000.0,0.0,0.0017018
201,Baden,267,1824,,11000.0,0.0,,1120000.0,0.0,0.0023302
202,Turkey,640,1824,,191000.0,0.0,6000000.0,27763000.0,863000.0,0.0628403
203,Wuerttemburg,271,1824,154000.0,6000.0,0.0,,1493000.0,0.0,0.0024594
204,Russia,365,1824,7510000.0,1032000.0,280000000.0,54000000.0,51500000.0,561000.0,0.16972579999999998
205,Hesse Grand Ducal,275,1824,,8000.0,0.0,,688000.0,0.0,0.0015653
206,Brazil,140,1824,,,,,4737000.0,0.0,0.0096883
207,Hesse Electoral,273,1824,,9000.0,0.0,94000000.0,615000.0,0.0,0.0015718
208,Portugal,235,1824,,32000.0,0.0,0.0,2929000.0,196000.0,0.010525
209,United Kingdom,200,1824,10386000.0,132000.0,1100000000.0,53244000000.0,21978000.0,2391000.0,0.3296627
210,Saxony,269,1825,,13000.0,0.0,,1326000.0,0.0,0.0028441
211,Spain,230,1825,,93000.0,40000000.0,0.0,11849000.0,285000.0,0.028657099999999998
212,Hesse Grand Ducal,275,1825,,8000.0,0.0,,696000.0,0.0,0.0016294
213,Wuerttemburg,271,1825,154000.0,6000.0,0.0,,1506000.0,0.0,0.0025091
214,Denmark,390,1825,,41000.0,0.0,54000000.0,1893000.0,0.0,0.0054973999999999995
215,Portugal,235,1825,,31000.0,0.0,0.0,2952000.0,198000.0,0.0104726
216,Papal States,327,1825,,9000.0,0.0,,2516000.0,145000.0,0.0083521
217,Switzerland,225,1825,,0.0,0.0,18000000.0,2018000.0,0.0,0.0016797000000000001
218,Two Sicilies,329,1825,,33000.0,0.0,,7314000.0,497000.0,0.0275591
219,Tuscany,337,1825,141000.0,3000.0,0.0,,1256000.0,0.0,0.0019667
220,Tunisia,616,1825,,9000.0,0.0,0.0,792000.0,105000.0,0.0042398
221,Baden,267,1825,,11000.0,0.0,,1133000.0,0.0,0.0024176
222,United Kingdom,200,1825,10568000.0,132000.0,1160000000.0,54318000000.0,22281000.0,2451000.0,0.3309532
223,Germany,255,1825,3085000.0,130000.0,78000000.0,3200000000.0,12257000.0,220000.0,0.0484088
224,Turkey,640,1825,,190000.0,0.0,6000000.0,28100000.0,872000.0,0.06326509999999999
225,Italy,325,1825,1024000.0,27000.0,20000000.0,0.0,4086000.0,0.0,0.0101648
226,United States of America,2,1825,1336000.0,11000.0,240000000.0,848000000.0,11252000.0,158000.0,0.034214999999999995
227,Netherlands,210,1825,1547000.0,28000.0,140000000.0,3544000000.0,6097000.0,374000.0,0.038318
228,France,220,1825,10609000.0,237000.0,398000000.0,3000000000.0,31410000.0,970000.0,0.1353913
229,Sweden,380,1825,,,138000000.0,18000000.0,3793000.0,0.0,0.0166923
230,Brazil,140,1825,,,,,4819000.0,0.0,0.0097004
231,Hesse Electoral,273,1825,,8000.0,0.0,92000000.0,623000.0,0.0,0.0015251
232,Austria-Hungary,300,1825,5087000.0,273000.0,144000000.0,400000000.0,32157000.0,680000.0,0.0879094
233,Bavaria,245,1825,642000.0,,20000000.0,76000000.0,3967000.0,0.0,0.0079919
234,Russia,365,1825,7476000.0,860000.0,316000000.0,54000000.0,52300000.0,637000.0,0.1652391
235,Austria-Hungary,300,1826,4635000.0,273000.0,174000000.0,400000000.0,32466000.0,682000.0,0.09017760000000001
236,Baden,267,1826,,12000.0,0.0,,1146000.0,0.0,0.0027123
237,Tunisia,616,1826,,9000.0,0.0,0.0,800000.0,105000.0,0.0042748000000000005
238,Two Sicilies,329,1826,,33000.0,0.0,,7378000.0,501000.0,0.0277353
239,Italy,325,1826,1046000.0,27000.0,20000000.0,0.0,4124000.0,0.0,0.0104737
240,Brazil,140,1826,,18000.0,0.0,0.0,4901000.0,0.0,0.005787
241,United States of America,2,1826,1658000.0,12000.0,240000000.0,1004000000.0,11580000.0,166000.0,0.0364252
242,United Kingdom,200,1826,11475000.0,149000.0,1040000000.0,55406000000.0,22576000.0,2513000.0,0.32982480000000003
243,Wuerttemburg,271,1826,153000.0,6000.0,0.0,,1518000.0,0.0,0.0025601
244,Germany,255,1826,3085000.0,130000.0,90000000.0,3200000000.0,12427000.0,225000.0,0.0501645
245,Tuscany,337,1826,147000.0,3000.0,0.0,,1277000.0,0.0,0.0020254
246,Switzerland,225,1826,,0.0,0.0,18000000.0,2032000.0,0.0,0.0016706
247,Turkey,640,1826,,190000.0,0.0,6000000.0,28442000.0,881000.0,0.06517830000000001
248,France,220,1826,10604000.0,237000.0,412000000.0,3194000000.0,31600000.0,983000.0,0.1383329
249,Saxony,269,1826,,13000.0,0.0,,1342000.0,0.0,0.0030383000000000003
250,Sweden,380,1826,,,134000000.0,16000000.0,3850000.0,0.0,0.0165595
251,Spain,230,1826,,92000.0,40000000.0,0.0,11939000.0,293000.0,0.029689999999999998
252,Russia,365,1826,7376000.0,578000.0,314000000.0,54000000.0,53000000.0,722000.0,0.15005539999999998
253,Hesse Grand Ducal,275,1826,,8000.0,0.0,,703000.0,0.0,0.0017475000000000001
254,Netherlands,210,1826,1501000.0,28000.0,160000000.0,3722000000.0,6153000.0,377000.0,0.0398126
255,Hesse Electoral,273,1826,,8000.0,0.0,90000000.0,632000.0,0.0,0.0016091999999999999
256,Bavaria,245,1826,638000.0,,20000000.0,74000000.0,4006000.0,0.0,0.0079362
257,Papal States,327,1826,,9000.0,0.0,,2542000.0,145000.0,0.0083595
258,Portugal,235,1826,,32000.0,0.0,0.0,2976000.0,200000.0,0.0108554
259,Denmark,390,1826,,41000.0,0.0,52000000.0,1908000.0,0.0,0.0059708
260,Turkey,640,1827,,191000.0,0.0,6000000.0,28787000.0,891000.0,0.06334930000000001
261,Denmark,390,1827,,41000.0,0.0,56000000.0,1924000.0,101000.0,0.0082118
262,Sweden,380,1827,,,134000000.0,18000000.0,3895000.0,0.0,0.0147768
263,Tuscany,337,1827,152000.0,3000.0,0.0,,1295000.0,0.0,0.0020454
264,Tunisia,616,1827,,9000.0,0.0,0.0,808000.0,105000.0,0.0040861
265,Russia,365,1827,7880000.0,675000.0,368000000.0,52000000.0,53800000.0,820000.0,0.1593984
266,Hesse Electoral,273,1827,,8000.0,0.0,94000000.0,640000.0,0.0,0.0015677
267,Saxony,269,1827,,13000.0,0.0,,1358000.0,0.0,0.0029527
268,France,220,1827,10014000.0,237000.0,432000000.0,4474000000.0,31800000.0,996000.0,0.1347034
269,United Kingdom,200,1827,10941000.0,155000.0,1380000000.0,56546000000.0,22872000.0,2577000.0,0.3328305
270,Germany,255,1827,3072000.0,130000.0,90000000.0,3400000000.0,12557000.0,231000.0,0.048914400000000004
271,Brazil,140,1827,,18000.0,0.0,0.0,4983000.0,0.0,0.0057107
272,Austria-Hungary,300,1827,4722000.0,273000.0,174000000.0,400000000.0,32778000.0,685000.0,0.0872459
273,Baden,267,1827,,12000.0,0.0,,1164000.0,0.0,0.0026375
274,Bavaria,245,1827,635000.0,,20000000.0,78000000.0,4043000.0,0.0,0.0077442
275,Portugal,235,1827,,26000.0,0.0,0.0,3000000.0,202000.0,0.0098625
276,Italy,325,1827,1067000.0,27000.0,20000000.0,0.0,4163000.0,104000.0,0.0124205
277,Papal States,327,1827,,10000.0,0.0,,2568000.0,145000.0,0.0081788
278,Wuerttemburg,271,1827,153000.0,6000.0,0.0,,1535000.0,0.0,0.0025375999999999997
279,Spain,230,1827,,92000.0,40000000.0,0.0,12029000.0,301000.0,0.028541399999999998
280,United States of America,2,1827,1663000.0,12000.0,260000000.0,1112000000.0,11909000.0,175000.0,0.0357089
281,Switzerland,225,1827,,0.0,0.0,20000000.0,2045000.0,0.0,0.0016652999999999998
282,Two Sicilies,329,1827,,34000.0,0.0,,7443000.0,505000.0,0.026906599999999996
283,Netherlands,210,1827,1439000.0,29000.0,160000000.0,3908000000.0,6207000.0,382000.0,0.0379118
284,Hesse Grand Ducal,275,1827,,8000.0,0.0,,711000.0,0.0,0.0016945
285,Baden,267,1828,,12000.0,0.0,,1176000.0,0.0,0.0026219
286,Germany,255,1828,3073000.0,130000.0,90000000.0,3400000000.0,12726000.0,237000.0,0.0485263
287,France,220,1828,12073000.0,247000.0,442000000.0,4758000000.0,32000000.0,1010000.0,0.14371910000000002
288,Two Sicilies,329,1828,,31000.0,0.0,,7508000.0,509000.0,0.0263073
289,Denmark,390,1828,,41000.0,0.0,54000000.0,1939000.0,104000.0,0.0081911
290,United States of America,2,1828,1622000.0,11000.0,260000000.0,1218000000.0,12237000.0,183000.0,0.0356879
